"","name","link"
"25","Peace Officers: Release of Records","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000S16&ciq=ncsl&client_md=e9089961fbe116824761c880903de163&mode=current_text"
"26","Peace Officers: Use of Force","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A26&ciq=ncsl&client_md=a7606a406c08660107f8dbf1fe84c45e&mode=current_text"
"27","Law Enforcement Use of Force","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A48&ciq=ncsl&client_md=3d696e87c7afd2ecb871c401817df183&mode=current_text"
"28","Arrest Warrants: Declaration of Probable Cause","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A127&ciq=ncsl&client_md=59f55b283af2a55fb65af5c946d033c9&mode=current_text"
"29","Law Enforcement Policies: Arrests: Positional Asphyxia","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A490&ciq=ncsl&client_md=7ea66f868b682900d835f74c52558ae6&mode=current_text"
"30","Criminal Law","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000S715&ciq=ncsl&client_md=a888b1ea93da45d2a233048ad3a2694b&mode=current_text"
"31","Peace Officers: Use of Force","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1196&ciq=ncsl&client_md=7e70900694af8516078bc388c3923bf4&mode=current_text"
"32","Police Use of Force","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1506&ciq=ncsl&client_md=9c721cfa7f82ba0fab015089f5bc4997&mode=current_text"
"33","Law Enforcement Whistleblower Protection","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2025000H1031&ciq=ncsl&client_md=610b760afa9bb05cb3c11b90bd44fc58&mode=current_text"
"34","Peace Officer Conduct Database","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2025000H1136&ciq=ncsl&client_md=4f12dc99f4e86f6aa89dc652882a03db&mode=current_text"
"35","Use of Prone Restraint by Law Enforcement","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2024000H1372&ciq=ncsl&client_md=4fbfcdfe76b9670e9744d91ab5d7d704&mode=current_text"
"36","Policies For Peace Officer Credibility Disclosures","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2021000S174&ciq=ncsl&client_md=107fb273eeca5657b584a39ff52a111c&mode=current_text"
"37","Measures to Address Law Enforcement Accountability","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2021000H1250&ciq=ncsl&client_md=9907874bca5af0a61b5bcab9268f0c37&mode=current_text"
"38","Enhance Law Enforcement Integrity","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CO2020000S217&ciq=ncsl&client_md=a9edf9219237f08bf764cffd5777acb5&mode=current_text"
"39","Age of Arrest of a Child and the Use of Handcuffs","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2025000S1542&ciq=ncsl&client_md=a135fd664619cd36544e226e9560c8ed&mode=current_text"
"40","Technical Revisions To Public Safety Statutes","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2025000H7073&ciq=ncsl&client_md=1448f77de7ac81fd69b6f155f158cd1d&mode=current_text"
"41","Police Officer Training","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2023000S1022&ciq=ncsl&client_md=e0427e0e016c828317a002533b17e1a2&mode=current_text"
"42","Deceptive or Coercive Interrogation Tactics","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2023000S1071&ciq=ncsl&client_md=60adffbcc0acb5c5783f81a17eecb6c1&mode=current_text"
"43","Death Timely Report","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2022000H5349&ciq=ncsl&client_md=3c6cf001cacc250c7b2b5de0ad74f06d&mode=current_text"
"44","Criminal Justice Commission Division","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000S892&ciq=ncsl&client_md=2782c43775902a797644e6443e7b7b8a&mode=current_text"
"45","Use of Force By a Peace Officer","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2021000H6462&ciq=ncsl&client_md=55f6dff0c238a8d6f89004b644e88aba&mode=current_text"
"46","Police Accountability","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CT2020010H6004&ciq=ncsl&client_md=6179605c5197e7aac9b0f01d223cbf4c&mode=current_text"
"47","Law Enforcement Officer Bill Of Rights","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DE2023000H205&ciq=ncsl&client_md=30b4ccc229479b953e381c6265256c80&mode=current_text"
"48","Criminal Justice Council Resolution","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DE2021000HJR4&ciq=ncsl&client_md=19ad4bc7f1b2199b8857dab0248cfa12&mode=current_text"
"49","Use Of Force","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DE2021000S147&ciq=ncsl&client_md=ea2f53aa748dc61f8c234912b3bfa7bc&mode=current_text"
"50","Division Of Civil Rights and Public Trust","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DE2021000S148&ciq=ncsl&client_md=ff01b59b6f5f7939630235fea52407c0&mode=current_text"
"51","Supplemental Appropriation Grant","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DE2019000S260&ciq=ncsl&client_md=442799e6efa495c782929f76ae4d1ddf&mode=current_text"
"52","Aggravated Strangulation Crime","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DE2019000H350&ciq=ncsl&client_md=bb3572a0892854d0551e52f22738ec3a&mode=current_text"
"53","Comprehensive Policing and Justice Reform","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2023000B1067&ciq=ncsl&client_md=915e05b2f894f7e148b41ee9b0c167d9&mode=current_text"
"54","Secure DC Omnibus Amendment Act of 2024","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2023000B345&ciq=ncsl&client_md=c7ecdb8b15f73732d6d43ee4b169775c&mode=current_text"
"55","Comprehensive Policing and Justice Reform","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2023000B731&ciq=ncsl&client_md=1cade928545e9d974ef71d6815c128d8&mode=current_text"
"56","Comprehensive Policing and Justice Reform","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2023000B732&ciq=ncsl&client_md=dba0c6d416859ac6ac580aac1244870f&mode=current_text"
"57","Secure DC Omnibus Emergency Amendment Act of 2024","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2023000B735&ciq=ncsl&client_md=325ad55b705b4fa21137a4692409b0cf&mode=current_text"
"58","Use of Force Review Board Emergency Act of 2023","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2023000B155&ciq=ncsl&client_md=6474111c5ec072ba0b64fc69afdc1540&mode=current_text"
"59","Use of Force Review Board Temporary Act of 2023","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2023000B156&ciq=ncsl&client_md=fe92f5ef5c6a5d74a8d647d37c8ae0e0&mode=current_text"
"60","Comprehensive Policing and Justice Reform","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2023000B163&ciq=ncsl&client_md=3da160d09bb84faea06f1acce9740eb0&mode=current_text"
"61","Comprehensive Policing and Justice Reform","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2023000B254&ciq=ncsl&client_md=562f3e06b43afc6edc965a45e340916a&mode=current_text"
"62","Comprehensive Policing and Justice Reform","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2023000B255&ciq=ncsl&client_md=ffc238a956958b05689607e04381bd67&mode=current_text"
"63","Comprehensive Policing and Justice Reform","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2023000B373&ciq=ncsl&client_md=27785e1d5651afb123b0d1a5350b59bd&mode=current_text"
"64","Comprehensive Policing and Justice Reform","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2021000B196&ciq=ncsl&client_md=15f5a2b60f8a87585316cbd5f2de84f6&mode=current_text"
"65","Comprehensive Policing and Justice Reform","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2021000B197&ciq=ncsl&client_md=78add8ab2a5c31b1b3853e268dee3104&mode=current_text"
"66","Comprehensive Policing and Justice Reform","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2021000B311&ciq=ncsl&client_md=b118179342459db45bfffe7e00715673&mode=current_text"
"67","Comprehensive Policing and Justice Reform","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2019000B825&ciq=ncsl&client_md=cdeccb031bc439c5ff01c1994b0d2d1b&mode=current_text"
"68","Comprehensive Policing and Justice Reform","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2019000B826&ciq=ncsl&client_md=9e5d3e2f9e23c97304fd87f9a587431b&mode=current_text"
"69","Comprehensive Policing and Justice Reform","http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2019000B907&ciq=ncsl&client_md=c7eafb8d8f6e9206fddffe9815db76b2&mode=current_text"
"70","Complaints Against Law Enforcement","http://custom.statenet.com/public/resources.cgi?id=ID:bill:FL2024000H601&ciq=ncsl&client_md=309f30e97034463366ad7eb5305502bb&mode=current_text"
"71","Chiefs of Police","http://custom.statenet.com/public/resources.cgi?id=ID:bill:FL2023000H935&ciq=ncsl&client_md=8d5274b3f94c343073197d5ccd19bcde&mode=current_text"
"72","Law Enforcement and Correctional Officer Practices","http://custom.statenet.com/public/resources.cgi?id=ID:bill:FL2021000H7051&ciq=ncsl&client_md=297f12bdd988903c8e219472df7aadb0&mode=current_text"
"73","Criminal Prosecutions","http://custom.statenet.com/public/resources.cgi?id=ID:bill:GA2023000S517&ciq=ncsl&client_md=a3968f6f1d0e7cb2d77ceaf1050910ca&mode=current_text"
"74","Office of the Inspector General","http://custom.statenet.com/public/resources.cgi?id=ID:bill:GA2023000S59&ciq=ncsl&client_md=63a5fe2ee415b85a0cf9ce8d97c75094&mode=current_text"
"75","Law Enforcement Use of Force Standard","http://custom.statenet.com/public/resources.cgi?id=ID:bill:HI2023000S151&ciq=ncsl&client_md=c75b3706316d1ce78acace8e326e6e29&mode=current_text"
"76","Law Enforcement Officers Duty to Intervene","http://custom.statenet.com/public/resources.cgi?id=ID:bill:HI2023000S372&ciq=ncsl&client_md=074a4d5f302abf9a63f2ddd4c62dc5be&mode=current_text"
"77","Suspended County Police Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:HI2019000H285&ciq=ncsl&client_md=8a02b92fe9d6d43768c41710c0531932&mode=current_text"
"78","State Police Training","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2025000S1764&ciq=ncsl&client_md=dd837a0c0afd0e865350ef7c9f308b75&mode=current_text"
"79","Empowering Public Participation Act","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2021000H1765&ciq=ncsl&client_md=a42ff97dc9622b38b9a37bd7e294c964&mode=current_text"
"80","Executive Branch Reorganization","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2021000S2037&ciq=ncsl&client_md=772f46946769385487988219aca32993&mode=current_text"
"81","Criminal Law","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2021000H3443&ciq=ncsl&client_md=b62ca1c4f77d43722b7f44c7c2cf282e&mode=current_text"
"82","Criminal Law","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2019000H3653&ciq=ncsl&client_md=69754b197a15d251b5ea7ff5f0a4b7f1&mode=current_text"
"83","Critical Incident Stress Management Debriefings","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IN2025000H1118&ciq=ncsl&client_md=58b0eec5d82e06f63031eba2d080fe19&mode=current_text"
"84","Law Enforcement Officer Criminal Convictions","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IN2025000H1471&ciq=ncsl&client_md=e0c3abec1b75e623ccb905ea1cdde474&mode=current_text"
"85","Law Enforcement Training Board","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IN2022000S294&ciq=ncsl&client_md=1b49d32fc1a072412708deb8ee035e8e&mode=current_text"
"86","Law Enforcement Officer De Escalation Training","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IN2021000H1006&ciq=ncsl&client_md=188e7a97321cabfe4e24693f6906d805&mode=current_text"
"87","City Civil Service Employees","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IA2025000S311&ciq=ncsl&client_md=9d53ab814215dc7cd10c278b9dcf65ee&mode=current_text"
"88","Placement of a Police Officer on a Brady Giglio List","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IA2023000H2592&ciq=ncsl&client_md=4af3cf3360fdbb3d7f7aeb62cea797da&mode=current_text"
"89","Attempting to Elude Pursuing Law Enforcement Vehicle","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IA2023000H358&ciq=ncsl&client_md=0e8bcb53b900b5b765a2ed2fcd07a57b&mode=current_text"
"90","Public Records","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IA2021000S342&ciq=ncsl&client_md=d33541c1fa6fceb665eaa277fb4c0910&mode=current_text"
"91","Peace Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:IA2019000H2647&ciq=ncsl&client_md=f17058931fe1573bf11ad57148ede9a0&mode=current_text"
"92","Peace Officer Certification","http://custom.statenet.com/public/resources.cgi?id=ID:bill:KY2023000H373&ciq=ncsl&client_md=1529a93bbb5cbae51500c7aadf673fe7&mode=current_text"
"93","Public Safety Personnel","http://custom.statenet.com/public/resources.cgi?id=ID:bill:KY2022000H414&ciq=ncsl&client_md=5abd45f8d3f64c922aa0e3ecd96ff50f&mode=current_text"
"94","Peace Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:KY2021000S80&ciq=ncsl&client_md=e607094af3f6d4a97c9cdfaf91022aa9&mode=current_text"
"95","Civil and Immunity","http://custom.statenet.com/public/resources.cgi?id=ID:bill:LA2024020H2&ciq=ncsl&client_md=0c070ef8fc765034096c1ca169888a69&mode=current_text"
"96","Law Enforcement Records","http://custom.statenet.com/public/resources.cgi?id=ID:bill:LA2022000H615&ciq=ncsl&client_md=eaa7163d3a6483cf1a28cd0aacde89d1&mode=current_text"
"97","Officer Disciplinary Matters","http://custom.statenet.com/public/resources.cgi?id=ID:bill:LA2022000H745&ciq=ncsl&client_md=d8ff2fa09d2de6d21314ceaf7c45e287&mode=current_text"
"98","Law Enforcement","http://custom.statenet.com/public/resources.cgi?id=ID:bill:LA2021000S34&ciq=ncsl&client_md=1f4b8ab3b08eb732898d8480fe70ef53&mode=current_text"
"99","Law Enforce and Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:LA2021000H129&ciq=ncsl&client_md=58adfec522992b8bc46785fbcae67da8&mode=current_text"
"100","Law Enforcement and Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:LA2021000H430&ciq=ncsl&client_md=ae4767ef3ce998d31b5c5c4b98fa11ee&mode=current_text"
"101","Polygraph Examination Results","http://custom.statenet.com/public/resources.cgi?id=ID:bill:ME2023000H64&ciq=ncsl&client_md=196c8c265ede80cc8813eff57398c328&mode=current_text"
"102","Review of Law Enforcement Use of Deadly Force","http://custom.statenet.com/public/resources.cgi?id=ID:bill:ME2021010H1095&ciq=ncsl&client_md=e47f9ff49ffabaa9614ebfcda97a0b89&mode=current_text"
"103","Police Accountability Time Limit","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2025000S533&ciq=ncsl&client_md=09ee23d4a1504f08d9dbdcb2c194e901&mode=current_text"
"104","Washington County Deputy Sheriffs and Deputies","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2023000S428&ciq=ncsl&client_md=73eed325bd45b8a0133f7084e16a0702&mode=current_text"
"105","Hate Crimes False Statement to Law Enforcement","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2022000S151&ciq=ncsl&client_md=d23efa04d5122d9ba21b3e9550218608&mode=current_text"
"106","Task Force to Study Public Information Act","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2022000S777&ciq=ncsl&client_md=de4d5cd95b1224de13cb0a0e5f035bce&mode=current_text"
"107","Inadmissibility Presumption","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2021000S71&ciq=ncsl&client_md=9772b86dcbe70afef60d453c226de93f&mode=current_text"
"108","Personnel Records","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2021000S178&ciq=ncsl&client_md=0104e5fb5404a6dd8939aac522a7cd70&mode=current_text"
"109","Civil Claims Against Law Enforcement Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2021000S364&ciq=ncsl&client_md=02d317600164e9f3c2ed137cb6f393c0&mode=current_text"
"110","Attorney General Investigation","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2021000S600&ciq=ncsl&client_md=82570f266f7263237f5a41a273e62241&mode=current_text"
"111","Police Reform Act","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2021000H670&ciq=ncsl&client_md=d88185e61e3560887dbd84550c2e33f5&mode=current_text"
"112","Police Officers Promotional Appointments","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2021000S752&ciq=ncsl&client_md=352549e44bf51799c8c9368e054a3adb&mode=current_text"
"113","Behavioral Health and Public Safety Center","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2021000S857&ciq=ncsl&client_md=a818dd46cdb41639840f32d158728923&mode=current_text"
"114","Law Enforcement Officer Data Collection","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2021000H1248&ciq=ncsl&client_md=b73ce5060ce6a5165fc9b2706741d02e&mode=current_text"
"115","Law Enforcement Justice and Accountability","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MA2019000S2963&ciq=ncsl&client_md=1b836e8e29869c9ed37e192998ce7618&mode=current_text"
"116","State Government","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MN2023000H5216&ciq=ncsl&client_md=466ae793296fd9360d4e86a689b9b797&mode=current_text"
"117","State Government","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MN2023000S2909&ciq=ncsl&client_md=066bb0fef627bec4b27295e521a2f9b9&mode=current_text"
"118","Public Safety","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MN2019030H1&ciq=ncsl&client_md=89b8caa1e899e7ff441893dc0cca05d0&mode=current_text"
"119","Public Safety","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MN2019040H2&ciq=ncsl&client_md=68e80772cb2940d9140b00364b861191&mode=current_text"
"120","Board on Law Enforcement Officer","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MS2024000H691&ciq=ncsl&client_md=4ce9eafef7df5f00d1195eaf7c0df900&mode=current_text"
"121","Law Enforcement Officer Residency Requirements","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MO2021000S53&ciq=ncsl&client_md=e40e44ad670750e534e8070acbfd9373&mode=current_text"
"122","Law Enforcement","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MT2023000H697&ciq=ncsl&client_md=29df8e20ed54d7a0aa5e46cd81bf58c3&mode=current_text"
"123","Board of Crime Control Laws","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MT2021000H28&ciq=ncsl&client_md=83a1961e7f4320802f9c47ff38c82200&mode=current_text"
"124","Laws Pertaining to Law Enforcement","http://custom.statenet.com/public/resources.cgi?id=ID:bill:MT2021000S67&ciq=ncsl&client_md=80efa49b8954d45648d8d35ec1638083&mode=current_text"
"125","Duties of the Attorney General","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NE2021000L1184&ciq=ncsl&client_md=e659275899c1e961cf42f8c4e5a41d93&mode=current_text"
"126","Provisions Governing Peace Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NV2023000S225&ciq=ncsl&client_md=cec87b3ed6ffbcb872d21612de86ec47&mode=current_text"
"127","Civil Action filed by Attorney General","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NV2021000A58&ciq=ncsl&client_md=5506284f6c47d6bc1f06ba72515efb86&mode=current_text"
"128","Peace Officers' Standards and Training Commission","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NV2021000A111&ciq=ncsl&client_md=2f1454a0dc8586d608801e8be753a493&mode=current_text"
"129","Peace Officer Civil Liability","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NV2021000A157&ciq=ncsl&client_md=221add32ccbe2d8de182db13ac7cb8b5&mode=current_text"
"130","Use of Force by Peace Officer Incident Reports","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NV2021000S212&ciq=ncsl&client_md=7e8405f73d83fd9cb1935e20cea9405e&mode=current_text"
"131","Peace Officer Bias Indicator Early Warning Systems","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NV2021000S236&ciq=ncsl&client_md=7aece5172f3dffdaf41ba1b68f9af1c8&mode=current_text"
"132","Use of Deadly Force","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NV2021000A396&ciq=ncsl&client_md=694536201a35d111ad29d58ca1800088&mode=current_text"
"133","Peace Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NV2020020S2&ciq=ncsl&client_md=51e944aa42e21ce0b85b1b8f8df46172&mode=current_text"
"134","Public Safety","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NV2020020A3&ciq=ncsl&client_md=a6599ce1e802b459bcef4a65a7c0611e&mode=current_text"
"135","Police Disciplinary Hearings","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NH2021000H471&ciq=ncsl&client_md=16828a30d6789949037b73c209bf6eca&mode=current_text"
"136","Misdemeanor Domestic Violence Offenses","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NH2019000H1645&ciq=ncsl&client_md=0c11791a3f547cc57197db73457acdc5&mode=current_text"
"137","Law Enforcement and Public Safety Telecommunications","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NM2023000S19&ciq=ncsl&client_md=0c96e6ff13e161aabd64f61050ec2c6e&mode=current_text"
"138","Civil Rights Act","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NM2021000H4&ciq=ncsl&client_md=562236734bdbcb53a3148c2e8d11ebbd&mode=current_text"
"139","Law Enforcement Body Cameras","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NM2020010S8&ciq=ncsl&client_md=b3378af44aff4e5c744c6567d0d41c8b&mode=current_text"
"140","Office of Special Investigation","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2019000S2574&ciq=ncsl&client_md=8d8f121673d91be63d9dbf6d47abc135&mode=current_text"
"141","Law Enforcement Inspector General","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2019000S3595&ciq=ncsl&client_md=a9d03a1346bba96ab5fc177e2ce6bc7a&mode=current_text"
"142","Strangulation in the First Degree","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2019000A6144&ciq=ncsl&client_md=d307b581db76e321e4b755324660acc4&mode=current_text"
"143","Law Enforcement Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2019000A10608&ciq=ncsl&client_md=bd2d2c804d5904439932d63552ad6ec7&mode=current_text"
"144","Chief Administrator of the Courts","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2019000A10609&ciq=ncsl&client_md=0e70226d56dc5a0f5b1a1f88c4210404&mode=current_text"
"145","Law Enforcement Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:NC2021000S300&ciq=ncsl&client_md=4db3956fb968f677a7a8865b88e62a13&mode=current_text"
